0,1,0.891304348,0.942528736,46
1,0.989247312,0.968421053,0.978723404,475
2,0.973493976,1,0.986568987,404
3,0.992217899,0.992217899,0.992217899,257
4,0.99026764,0.995110024,0.992682927,409
5,0.987922705,1,0.993924666,409
6,1,1,1,169
7,1,0.991596639,0.995780591,119
8,0.977777778,1,0.988764045,88
9,1,1,1,241
10,0.992031873,1,0.996,249
11,1,1,1,34
12,0.977220957,0.966216216,0.971687429,444
13,0.936708861,0.961038961,0.948717949,77
14,1,0.825396825,0.904347826,63
15,0.989130435,1,0.994535519,91
16,0.989130435,0.978494624,0.983783784,93
17,1,0.98245614,0.991150442,57
18,0.996197719,0.984962406,0.990548204,266
19,0.990566038,0.972222222,0.981308411,108
20,1,0.980392157,0.99009901,51
21,1,0.918367347,0.957446809,98
22,0.913793103,0.963636364,0.938053097,55
23,0.995798319,0.868131868,0.927592955,273
24,0.942307692,0.98989899,0.965517241,99
25,0.907407407,0.993243243,0.948387097,148
26,1,0.970588235,0.985074627,34
27,0.993506494,1,0.996742671,153
28,0.972972973,0.990825688,0.981818182,109
29,0.996031746,0.996031746,0.996031746,252
30,1,0.988095238,0.994011976,84
31,1,1,1,42
32,0.995316159,0.997652582,0.996483001,426
33,1,1,1,56
34,0.992268041,0.982142857,0.987179487,392
35,1,0.866666667,0.928571429,60
36,1,0.976744186,0.988235294,43
37,0.96,0.979591837,0.96969697,49
38,0.882211538,0.970899471,0.924433249,378
39,1,1,1,83
40,0.952380952,0.992907801,0.972222222,282
41,0.974169742,0.992481203,0.983240223,266
42,1,0.970588235,0.985074627,306
